Population,Location,Year,Age,Sex,Cause of death or injury,Measure,Value,Lower bound,Upper bound
All Population,Brunei Darussalam,1990,10-14 years,Both,Depressive disorders,"Prevalent cases per 100,000",1447.1369266671259,987.1407794370648,1928.9621254097035
All Population,Brunei Darussalam,1991,10-14 years,Both,Depressive disorders,"Prevalent cases per 100,000",1457.85284135608,1021.8550738380209,1944.0156108984388
All Population,Brunei Darussalam,1992,10-14 years,Both,Depressive disorders,"Prevalent cases per 100,000",1469.1920096016954,1047.2482252437187,1969.2093856397819
All Population,Brunei Darussalam,1993,10-14 years,Both,Depressive disorders,"Prevalent cases per 100,000",1484.725085423615,1067.3915720467664,1971.239133559999
All Population,Brunei Darussalam,1994,10-14 years,Both,Depressive disorders,"Prevalent cases per 100,000",1505.128331558213,1087.8742999179153,2042.0110966921277
All Population,Brunei Darussalam,1995,10-14 years,Both,Depressive disorders,"Prevalent cases per 100,000",1526.0465009650445,1110.401289032869,2051.503381531234
All Population,Brunei Darussalam,1996,10-14 years,Both,Depressive disorders,"Prevalent cases per 100,000",1649.7264455725542,1217.2937455016963,2212.3259370111614
All Population,Brunei Darussalam,1997,10-14 years,Both,Depressive disorders,"Prevalent cases per 100,000",1680.3671368112912,1256.3881458824208,2283.2347595511237
All Population,Brunei Darussalam,1998,10-14 years,Both,Depressive disorders,"Prevalent cases per 100,000",1741.4131939318095,1311.8219207707195,2357.3466349037853
All Population,Brunei Darussalam,1999,10-14 years,Both,Depressive disorders,"Prevalent cases per 100,000",1820.004282680103,1366.50968422228,2434.5166406495664
All Population,Brunei Darussalam,2000,10-14 years,Both,Depressive disorders,"Prevalent cases per 100,000",1860.9294935610833,1391.395501243153,2505.1872825976448
All Population,Brunei Darussalam,2001,10-14 years,Both,Depressive disorders,"Prevalent cases per 100,000",1887.2455258898558,1423.0267531961608,2552.638197369947
All Population,Brunei Darussalam,2002,10-14 years,Both,Depressive disorders,"Prevalent cases per 100,000",1947.5816365550395,1458.3504700706123,2617.7289701781306
All Population,Brunei Darussalam,2003,10-14 years,Both,Depressive disorders,"Prevalent cases per 100,000",1973.4904111036826,1475.5858632376999,2715.0830267340916
All Population,Brunei Darussalam,2004,10-14 years,Both,Depressive disorders,"Prevalent cases per 100,000",2019.1941723946193,1508.3648284704457,2765.6529867308063
All Population,Brunei Darussalam,2005,10-14 years,Both,Depressive disorders,"Prevalent cases per 100,000",2084.886787984473,1565.9050953920562,2866.727557676178
All Population,Brunei Darussalam,2006,10-14 years,Both,Depressive disorders,"Prevalent cases per 100,000",2125.296796109154,1595.3575577893985,2907.1365110082857
All Population,Brunei Darussalam,2007,10-14 years,Both,Depressive disorders,"Prevalent cases per 100,000",2206.248733009139,1639.0597394164943,3031.80374460503
All Population,Brunei Darussalam,2008,10-14 years,Both,Depressive disorders,"Prevalent cases per 100,000",2279.407196216959,1711.3550382318474,3068.326970722504
All Population,Brunei Darussalam,2009,10-14 years,Both,Depressive disorders,"Prevalent cases per 100,000",2361.3110692777796,1756.929349656275,3080.6540351201547
All Population,Brunei Darussalam,2010,10-14 years,Both,Depressive disorders,"Prevalent cases per 100,000",2428.23549738468,1804.4108327084602,3171.475163366273
All Population,Brunei Darussalam,2011,10-14 years,Both,Depressive disorders,"Prevalent cases per 100,000",2385.000905107826,1804.2033009701388,3131.6914112214113
All Population,Brunei Darussalam,2012,10-14 years,Both,Depressive disorders,"Prevalent cases per 100,000",2456.5306752662573,1872.53455591987,3274.0815594100027
All Population,Brunei Darussalam,2013,10-14 years,Both,Depressive disorders,"Prevalent cases per 100,000",2480.082227407088,1897.3808000636996,3316.5651922667303
All Population,Brunei Darussalam,2014,10-14 years,Both,Depressive disorders,"Prevalent cases per 100,000",2514.333454361076,1909.5295695518278,3389.17911960527
All Population,Brunei Darussalam,2015,10-14 years,Both,Depressive disorders,"Prevalent cases per 100,000",2599.644829138153,1982.3768901113776,3507.885379012031
All Population,Brunei Darussalam,2016,10-14 years,Both,Depressive disorders,"Prevalent cases per 100,000",2683.200182834871,2069.47549466348,3605.7001699637685
All Population,Brunei Darussalam,2017,10-14 years,Both,Depressive disorders,"Prevalent cases per 100,000",2990.7627476182756,2252.3838358123007,3974.0836376883713
All Population,Brunei Darussalam,2018,10-14 years,Both,Depressive disorders,"Prevalent cases per 100,000",2840.950140260407,2146.879749145832,3776.5040616447172
All Population,Brunei Darussalam,2019,10-14 years,Both,Depressive disorders,"Prevalent cases per 100,000",3008.232797151184,2308.7459077531894,3943.990898670178
All Population,Brunei Darussalam,2020,10-14 years,Both,Depressive disorders,"Prevalent cases per 100,000",3500.0286125558214,2644.091620968609,4541.462591162857
All Population,Brunei Darussalam,2021,10-14 years,Both,Depressive disorders,"Prevalent cases per 100,000",3608.807482577297,2790.9829541088397,4605.731085757386
All Population,Brunei Darussalam,2022,10-14 years,Both,Depressive disorders,"Prevalent cases per 100,000",3457.699893653733,2605.5577351051875,4483.085482652247
All Population,Brunei Darussalam,2023,10-14 years,Both,Depressive disorders,"Prevalent cases per 100,000",3471.8171814171874,2568.199436833653,4684.844726885869
All Population,Japan,1990,10-14 years,Both,Depressive disorders,"Prevalent cases per 100,000",1915.9929502813943,1309.9993893686049,2565.0500902412928
All Population,Japan,1991,10-14 years,Both,Depressive disorders,"Prevalent cases per 100,000",1925.3929426510676,1328.8758229650548,2575.2971706715407
All Population,Japan,1992,10-14 years,Both,Depressive disorders,"Prevalent cases per 100,000",1927.9544790352747,1361.1809420936515,2574.9022818999224
All Population,Japan,1993,10-14 years,Both,Depressive disorders,"Prevalent cases per 100,000",1942.8569765613513,1383.8331879119273,2608.1174110328166
All Population,Japan,1994,10-14 years,Both,Depressive disorders,"Prevalent cases per 100,000",1980.2223723880973,1410.6406674231005,2706.4333682912124
All Population,Japan,1995,10-14 years,Both,Depressive disorders,"Prevalent cases per 100,000",1993.7884135852878,1432.5567782722947,2712.5202395755105
All Population,Japan,1996,10-14 years,Both,Depressive disorders,"Prevalent cases per 100,000",2012.032082758454,1458.954633398395,2722.1440395942886
All Population,Japan,1997,10-14 years,Both,Depressive disorders,"Prevalent cases per 100,000",2047.503207998159,1496.4247970681813,2815.558552861247
All Population,Japan,1998,10-14 years,Both,Depressive disorders,"Prevalent cases per 100,000",2072.1661896746596,1532.5272475704235,2797.4224628210695
All Population,Japan,1999,10-14 years,Both,Depressive disorders,"Prevalent cases per 100,000",2101.9405100735753,1571.7748115672905,2846.3508033955486
All Population,Japan,2000,10-14 years,Both,Depressive disorders,"Prevalent cases per 100,000",2138.510780299046,1595.4942803879146,2943.412355686156
All Population,Japan,2001,10-14 years,Both,Depressive disorders,"Prevalent cases per 100,000",2174.715731260103,1654.4596366223377,2991.2242384080314
All Population,Japan,2002,10-14 years,Both,Depressive disorders,"Prevalent cases per 100,000",2210.7850805006715,1686.7336890591955,3032.095099538694
All Population,Japan,2003,10-14 years,Both,Depressive disorders,"Prevalent cases per 100,000",2244.9755502653816,1712.1534793653504,3087.4206060205056
All Population,Japan,2004,10-14 years,Both,Depressive disorders,"Prevalent cases per 100,000",2276.75341101969,1732.1010306940318,3101.068021958615
All Population,Japan,2005,10-14 years,Both,Depressive disorders,"Prevalent cases per 100,000",2308.9995445070317,1762.7610788355823,3151.279462532132
