Population,Location,Year,Age,Sex,Cause of death or injury,Measure,Value,Lower bound,Upper bound
All Population,Brunei Darussalam,1990,30-34 years,Both,Depressive disorders,"Prevalent cases per 100,000",2501.0846113350553,1942.2688182585648,3204.683219657366
All Population,Brunei Darussalam,1991,30-34 years,Both,Depressive disorders,"Prevalent cases per 100,000",2500.7284736135384,1947.9898646719494,3170.3326654608413
All Population,Brunei Darussalam,1992,30-34 years,Both,Depressive disorders,"Prevalent cases per 100,000",2501.644193892684,1952.8159319865515,3162.281500752158
All Population,Brunei Darussalam,1993,30-34 years,Both,Depressive disorders,"Prevalent cases per 100,000",2497.599185492667,1955.4359282445419,3128.7235965008026
All Population,Brunei Darussalam,1994,30-34 years,Both,Depressive disorders,"Prevalent cases per 100,000",2486.887634822208,1920.805267525909,3084.1547618519994
All Population,Brunei Darussalam,1995,30-34 years,Both,Depressive disorders,"Prevalent cases per 100,000",2477.252696687654,1932.3615228495642,3026.752841213407
All Population,Brunei Darussalam,1996,30-34 years,Both,Depressive disorders,"Prevalent cases per 100,000",2558.5500060511076,1995.1010260435994,3122.9143519456206
All Population,Brunei Darussalam,1997,30-34 years,Both,Depressive disorders,"Prevalent cases per 100,000",2542.5919804693485,1989.598770212502,3101.2452296991855
All Population,Brunei Darussalam,1998,30-34 years,Both,Depressive disorders,"Prevalent cases per 100,000",2564.2296961119773,2018.8690566753423,3167.011216626274
All Population,Brunei Darussalam,1999,30-34 years,Both,Depressive disorders,"Prevalent cases per 100,000",2596.887159089201,2064.493112813752,3221.5450610794005
All Population,Brunei Darussalam,2000,30-34 years,Both,Depressive disorders,"Prevalent cases per 100,000",2575.9785738962946,2060.817450084714,3171.862305793096
All Population,Brunei Darussalam,2001,30-34 years,Both,Depressive disorders,"Prevalent cases per 100,000",2546.0187222369673,2035.872581694348,3137.228486398925
All Population,Brunei Darussalam,2002,30-34 years,Both,Depressive disorders,"Prevalent cases per 100,000",2546.0620723330517,2053.5883587723647,3135.529257769107
All Population,Brunei Darussalam,2003,30-34 years,Both,Depressive disorders,"Prevalent cases per 100,000",2518.2011573087757,2042.9659584166527,3059.745072410097
All Population,Brunei Darussalam,2004,30-34 years,Both,Depressive disorders,"Prevalent cases per 100,000",2510.3967324724504,2032.350705662725,3064.2909244261823
All Population,Brunei Darussalam,2005,30-34 years,Both,Depressive disorders,"Prevalent cases per 100,000",2520.9206333447764,2025.4623169543431,3102.148744791364
All Population,Brunei Darussalam,2006,30-34 years,Both,Depressive disorders,"Prevalent cases per 100,000",2502.084506642285,2012.9855785032148,3086.400752988775
All Population,Brunei Darussalam,2007,30-34 years,Both,Depressive disorders,"Prevalent cases per 100,000",2519.9647956725307,2060.5320282678094,3083.8606994962975
All Population,Brunei Darussalam,2008,30-34 years,Both,Depressive disorders,"Prevalent cases per 100,000",2532.5032151478813,2077.573045033869,3091.2863988709178
